"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 08, 2020","120.34","118.10","122.96","118.10","27.75K","-0.07%"
"Jan 07, 2020","120.42","121.00","121.62","120.08","10.19K","0.35%"
"Jan 06, 2020","120.00","122.00","122.00","118.16","38.06K","-0.23%"
"Jan 03, 2020","120.28","122.00","122.00","120.00","54.60K","-1.30%"
"Jan 02, 2020","121.86","122.00","122.24","121.34","22.64K","0.31%"
"Dec 30, 2019","121.48","122.60","122.60","121.48","40.79K","-0.74%"
"Dec 27, 2019","122.38","125.10","125.10","121.96","18.96K","0.34%"
"Dec 23, 2019","121.96","121.00","122.00","121.00","12.86K","0.58%"
"Dec 20, 2019","121.26","120.62","121.26","120.60","30.20K","0.73%"
"Dec 19, 2019","120.38","120.92","120.92","119.96","12.30K","-0.18%"
"Dec 18, 2019","120.60","121.74","121.80","120.60","10.44K","-0.79%"
"Dec 17, 2019","121.56","122.18","122.20","121.54","6.02K","-0.54%"
"Dec 16, 2019","122.22","120.90","122.22","120.76","17.85K","2.00%"
"Dec 13, 2019","119.82","120.28","120.50","119.80","11.53K","0.44%"
"Dec 12, 2019","119.30","119.62","119.62","119.30","0.35K","0.20%"
"Dec 11, 2019","119.06","119.60","119.72","119.06","21.04K","-0.45%"
"Dec 10, 2019","119.60","119.58","119.60","118.56","6.88K","0.02%"
"Dec 09, 2019","119.58","120.30","120.30","119.58","5.32K","-0.60%"
"Dec 06, 2019","120.30","119.32","120.30","119.28","22.08K","0.82%"
"Dec 05, 2019","119.32","119.32","119.46","119.14","3.63K","0.42%"
"Dec 04, 2019","118.82","118.34","118.92","118.26","15.72K","0.92%"
"Dec 03, 2019","117.74","118.82","118.88","117.60","28.76K","-0.10%"
"Dec 02, 2019","117.86","118.46","118.88","117.86","1.37K","-0.44%"
"Nov 29, 2019","118.38","118.02","118.90","118.02","1.15K","-0.42%"
"Nov 28, 2019","118.88","118.90","118.90","118.40","2.85K","0.30%"
"Nov 27, 2019","118.52","118.28","118.54","118.16","2.94K","0.20%"
"Nov 26, 2019","118.28","117.88","118.32","117.60","14.07K","0.61%"
"Nov 25, 2019","117.56","116.38","117.68","116.38","5.18K","1.38%"
"Nov 22, 2019","115.96","115.60","115.98","115.28","26.52K","0.78%"
"Nov 21, 2019","115.06","115.68","115.68","115.06","1.04K","-1.10%"
"Nov 20, 2019","116.34","116.74","116.74","116.34","2.13K","-0.50%"
"Nov 19, 2019","116.92","117.22","117.44","116.90","3.70K","0.36%"
"Nov 18, 2019","116.50","117.50","117.50","116.50","7.18K","0.00%"
"Nov 15, 2019","116.50","116.88","116.88","116.46","6.84K","0.24%"
"Nov 14, 2019","116.22","116.68","116.88","116.14","4.67K","-0.39%"
"Nov 13, 2019","116.68","116.30","116.68","116.30","1.07K","0.43%"
"Nov 12, 2019","116.18","116.02","116.18","115.76","1.62K","0.14%"
"Nov 11, 2019","116.02","115.90","116.02","115.46","2.48K","0.36%"
"Nov 08, 2019","115.60","114.88","115.60","114.88","11.12K","0.78%"
"Nov 07, 2019","114.70","113.00","114.70","113.00","20.13K","1.81%"
"Nov 06, 2019","112.66","113.00","113.10","112.44","2.45K","-0.30%"
"Nov 05, 2019","113.00","114.00","114.02","113.00","37.97K","-0.79%"
"Nov 04, 2019","113.90","113.50","114.40","113.44","5.63K","0.53%"
"Nov 01, 2019","113.30","112.24","113.30","112.24","1.23K","1.60%"
"Oct 31, 2019","111.52","112.36","112.36","111.48","18.65K","-0.16%"
"Oct 30, 2019","111.70","111.70","111.84","111.70","7.54K","0.59%"
"Oct 29, 2019","111.04","112.34","112.34","110.32","13.85K","-1.12%"
"Oct 28, 2019","112.30","111.20","112.30","111.20","1.03K","0.99%"
"Oct 25, 2019","111.20","111.20","111.20","111.20","0.07K","0.05%"
"Oct 24, 2019","111.14","111.00","111.64","111.00","1.13K","0.83%"
"Oct 23, 2019","110.22","110.30","110.30","110.22","0.22K","0.75%"
"Oct 21, 2019","109.40","109.06","109.40","109.06","0.12K","0.31%"
"Oct 18, 2019","109.06","109.34","109.46","109.06","0.81K","-0.84%"
"Oct 17, 2019","109.98","109.48","110.38","109.32","9.56K","-0.38%"
"Oct 16, 2019","110.40","110.40","110.40","110.40","0.10K","0.00%"
"Oct 15, 2019","110.40","110.34","110.40","109.30","13.73K","1.49%"
"Oct 14, 2019","108.78","107.92","109.20","107.92","5.52K","1.59%"
"Oct 11, 2019","107.08","106.96","107.08","106.96","1.09K","0.41%"
"Oct 10, 2019","106.64","108.00","110.64","106.60","6.93K","-1.41%"
"Oct 09, 2019","108.16","108.30","108.30","108.06","10.00K","0.33%"
"Oct 08, 2019","107.80","108.50","108.50","107.44","0.87K","-0.65%"
"Oct 07, 2019","108.50","108.50","108.56","108.40","7.65K","0.93%"
"Oct 04, 2019","107.50","107.82","107.82","107.26","19.26K","1.24%"
"Oct 03, 2019","106.18","106.54","107.10","106.18","15.73K","-0.69%"
"Oct 02, 2019","106.92","109.00","109.00","106.92","16.17K","-2.48%"
"Oct 01, 2019","109.64","111.32","111.50","109.64","1.02K","-1.28%"
"Sep 30, 2019","111.06","111.44","111.44","110.60","1.20K","-0.29%"
"Sep 27, 2019","111.38","111.30","111.38","110.62","0.60K","0.11%"
"Sep 26, 2019","111.26","111.08","111.26","110.74","0.22K","0.51%"
"Sep 25, 2019","110.70","111.00","111.00","110.44","4.58K","-1.02%"
"Sep 24, 2019","111.84","112.14","112.14","111.84","0.25K","0.29%"
"Sep 23, 2019","111.52","111.40","111.76","111.20","0.80K","0.54%"
"Sep 20, 2019","110.92","111.10","111.36","110.92","9.71K","-0.27%"
"Sep 19, 2019","111.22","111.10","111.26","110.70","1.35K","0.32%"
"Sep 18, 2019","110.86","111.06","111.22","110.40","25.09K","0.20%"
"Sep 17, 2019","110.64","110.60","110.66","110.50","1.18K","0.04%"
"Sep 16, 2019","110.60","110.90","111.32","110.60","1.84K","-0.27%"
"Sep 13, 2019","110.90","111.66","111.66","110.90","1.15K","-0.68%"
"Sep 12, 2019","111.66","112.00","112.20","111.14","6.01K","0.02%"
"Sep 11, 2019","111.64","109.92","111.64","109.92","1.02K","1.95%"
"Sep 10, 2019","109.50","110.56","110.56","108.92","14.10K","-1.76%"
"Sep 09, 2019","111.46","112.40","112.40","111.46","0.86K","-0.66%"
"Sep 06, 2019","112.20","112.14","112.30","112.00","1.43K","-0.09%"
"Sep 05, 2019","112.30","112.00","112.48","111.74","28.90K","0.70%"
"Sep 04, 2019","111.52","111.16","112.36","111.16","1.28K","0.56%"
"Sep 03, 2019","110.90","110.76","111.06","110.40","16.73K","0.14%"
"Sep 02, 2019","110.74","109.96","111.00","109.96","0.76K","0.71%"
"Aug 30, 2019","109.96","109.50","109.96","109.50","1.71K","1.22%"
"Aug 29, 2019","108.64","108.94","108.94","108.64","2.01K","0.11%"
"Aug 28, 2019","108.52","109.16","109.40","108.52","2.12K","-0.86%"
"Aug 27, 2019","109.46","109.06","109.46","109.04","8.17K","0.24%"
"Aug 26, 2019","109.20","108.28","109.20","108.28","0.14K","-0.85%"
"Aug 23, 2019","110.14","110.96","111.12","110.14","9.73K","-0.74%"
"Aug 22, 2019","110.96","110.32","110.96","110.32","3.50K","0.58%"
"Aug 21, 2019","110.32","109.38","110.32","109.38","3.45K","1.12%"
"Aug 20, 2019","109.10","110.00","110.00","109.10","0.05K","0.65%"
"Aug 19, 2019","108.40","108.00","108.46","108.00","3.08K","0.78%"
"Aug 16, 2019","107.56","107.36","107.56","107.36","0.41K","0.90%"
"Aug 15, 2019","106.60","105.14","107.42","105.14","2.73K","-0.06%"
"Aug 14, 2019","106.66","106.94","106.94","106.66","4.22K","-0.56%"
"Aug 13, 2019","107.26","107.00","107.26","106.90","5.00K","0.15%"
"Aug 12, 2019","107.10","108.10","108.10","106.88","3.43K","-1.07%"
"Aug 09, 2019","108.26","108.72","108.88","108.26","30.90K","0.04%"
"Aug 08, 2019","108.22","107.68","108.28","107.00","11.70K","1.52%"
"Aug 07, 2019","106.60","107.74","107.74","106.60","0.33K","-0.17%"
"Aug 06, 2019","106.78","105.66","106.78","105.66","0.83K","1.06%"
"Aug 05, 2019","105.66","107.72","107.72","105.36","4.22K","-2.46%"
"Aug 02, 2019","108.32","109.42","109.42","108.32","1.93K","-1.60%"
"Aug 01, 2019","110.08","108.82","110.12","108.82","18.39K","1.70%"
"Jul 31, 2019","108.24","108.16","108.50","108.16","4.27K","-0.15%"
"Jul 30, 2019","108.40","109.82","109.82","108.28","1.46K","-1.54%"
"Jul 29, 2019","110.10","110.10","110.10","110.10","0.02K","0.07%"
"Jul 26, 2019","110.02","110.80","110.80","110.02","2.46K","-0.20%"
"Jul 25, 2019","110.24","110.54","111.00","110.24","0.73K","0.36%"
"Jul 24, 2019","109.84","109.58","109.84","109.58","0.87K","0.33%"
"Jul 23, 2019","109.48","109.56","109.56","109.48","3.64K","0.15%"
"Jul 22, 2019","109.32","108.80","109.32","108.66","8.66K","0.44%"
"Jul 19, 2019","108.84","109.16","109.30","108.84","0.57K","-0.53%"
"Jul 18, 2019","109.42","109.22","109.42","108.88","1.47K","-0.04%"
"Jul 17, 2019","109.46","109.66","110.10","109.46","4.02K","-0.26%"
"Jul 16, 2019","109.74","109.16","109.76","109.16","8.23K","0.53%"
"Jul 15, 2019","109.16","109.12","109.26","109.00","1.02K","0.33%"
"Jul 12, 2019","108.80","110.08","110.08","108.78","6.04K","-1.48%"
